trial,score,best_so_far,peak_timing,best_peak_timing,peak_height,best_peak_height,crash_ratio,best_crash_ratio
408,1.4307022565628917,0.11495107880511861,17,2,0.5146051836830071,0.02725902500264201,0.07846628792977813,0.033598242143165036
409,54.440771525665,0.11495107880511861,14,2,2.4917978408750896,0.02725902500264201,0.8999205686090144,0.033598242143165036
410,4.769551360182025,0.11495107880511861,11,2,0.46609216259003355,0.02725902500264201,0.23641786904756337,0.033598242143165036
411,15.433693536477026,0.11495107880511861,4,2,1.607705071083973,0.02725902500264201,0.21674486515343502,0.033598242143165036
412,28.35015091283361,0.11495107880511861,10,2,1.2956612340961267,0.02725902500264201,0.8990386303447417,0.033598242143165036
413,64.09472268129505,0.11495107880511861,7,2,2.363683954023493,0.02725902500264201,0.8022146352251479,0.033598242143165036
414,90.62081563750527,0.11495107880511861,10,2,3.321719595619332,0.02725902500264201,0.5749085829638597,0.033598242143165036
415,4.120587418071378,0.11495107880511861,14,2,0.47442933412744315,0.02725902500264201,0.09999999999999987,0.033598242143165036
416,2.043268345868538,0.11495107880511861,15,2,0.2604939145176552,0.02725902500264201,0.9,0.033598242143165036
417,1.6416349119869789,0.11495107880511861,19,2,0.8258662277054407,0.02725902500264201,0.08982955619559721,0.033598242143165036
418,0.5767423766654379,0.11495107880511861,1,2,0.6345122370587958,0.02725902500264201,0.14642306920239404,0.033598242143165036
419,11.70990521157533,0.11495107880511861,11,2,1.5033602318860466,0.02725902500264201,0.06642043635790915,0.033598242143165036
420,35.30273484686628,0.11495107880511861,10,2,1.4524222720547684,0.02725902500264201,0.8359256091998285,0.033598242143165036
421,128.05009024479443,0.11495107880511861,15,2,3.6585185028032248,0.02725902500264201,0.9,0.033598242143165036
422,2.3734490221664286,0.11495107880511861,3,2,1.0470247554490588,0.02725902500264201,0.09029947918436261,0.033598242143165036
423,31.845711279061938,0.11495107880511861,11,2,1.330949477967557,0.02725902500264201,0.8358314198469539,0.033598242143165036
424,1.8682568442285874,0.11495107880511861,18,2,0.40552890959035226,0.02725902500264201,0.1,0.033598242143165036
425,1.8281190530372098,0.11495107880511861,18,2,0.5001644347444746,0.02725902500264201,0.09999999999999926,0.033598242143165036
426,19.04480509966942,0.11495107880511861,7,2,1.0857587027861748,0.02725902500264201,0.8180440567253598,0.033598242143165036
427,2.7855002968185083,0.11495107880511861,11,2,0.040285947518647156,0.02725902500264201,0.6742764845507704,0.033598242143165036
428,10.408547267582902,0.11495107880511861,13,2,1.1607224200829458,0.02725902500264201,0.2588105270822755,0.033598242143165036
429,1.6280422793478448,0.11495107880511861,17,2,0.3771533663426544,0.02725902500264201,0.09079382498313106,0.033598242143165036
430,23.06926151380921,0.11495107880511861,15,2,1.0682977030507241,0.02725902500264201,0.9,0.033598242143165036
431,2.7224533176843693,0.11495107880511861,15,2,0.12251551109723746,0.02725902500264201,0.9,0.033598242143165036
432,62.06123129740167,0.11495107880511861,3,2,2.3866297581849016,0.02725902500264201,0.8488190621022119,0.033598242143165036
433,11.719934420090276,0.11495107880511861,11,2,1.5680874734117378,0.02725902500264201,0.0999999999746626,0.033598242143165036
434,1.801029518717183,0.11495107880511861,18,2,0.5138867848001059,0.02725902500264201,0.09999999999999941,0.033598242143165036
435,3.4637918302970676,0.11495107880511861,14,2,0.1325233193870238,0.02725902500264201,0.0999999999999998,0.033598242143165036
436,67.17874097525264,0.11495107880511861,7,2,2.3433665843885003,0.02725902500264201,0.8468078697917779,0.033598242143165036
437,34.89231049958888,0.11495107880511861,4,2,2.0290597945708613,0.02725902500264201,0.7106551970843745,0.033598242143165036
438,48.91399149271946,0.11495107880511861,15,2,2.3437520277230854,0.02725902500264201,0.9,0.033598242143165036
439,33.61705709847083,0.11495107880511861,15,2,2.6245944921713606,0.02725902500264201,0.9,0.033598242143165036
440,2.2058719023438624,0.11495107880511861,17,2,0.2492353400683278,0.02725902500264201,0.09999999996328135,0.033598242143165036
441,2.2124460178818484,0.11495107880511861,18,2,0.16175083451392783,0.02725902500264201,0.09999999998869832,0.033598242143165036
442,9.51374257475016,0.11495107880511861,8,2,0.5768266771344567,0.02725902500264201,0.7642799769628119,0.033598242143165036
443,3.5606639743001702,0.11495107880511861,9,2,0.07407573699321002,0.02725902500264201,0.5221308423100524,0.033598242143165036
444,1.8531699386244618,0.11495107880511861,14,2,0.23799122628733138,0.02725902500264201,0.6932655799372407,0.033598242143165036
445,18.40196948555707,0.11495107880511861,11,2,2.263639607395762,0.02725902500264201,0.09999999997157755,0.033598242143165036
446,4.235740729740832,0.11495107880511861,15,2,0.38938685481749186,0.02725902500264201,0.09999999996893252,0.033598242143165036
447,6.218464910798371,0.11495107880511861,15,2,0.8953344984229658,0.02725902500264201,0.9,0.033598242143165036
448,1.839153520097833,0.11495107880511861,18,2,0.4758859465494174,0.02725902500264201,0.1,0.033598242143165036
449,28.9643752714577,0.11495107880511861,6,2,1.5255386151879078,0.02725902500264201,0.820257653687673,0.033598242143165036
450,0.5602053112962744,0.11495107880511861,2,2,0.5190913582369703,0.02725902500264201,0.027559247207124035,0.033598242143165036
451,0.22385001063390678,0.11495107880511861,3,2,0.17555341322808307,0.02725902500264201,0.15569561648100974,0.033598242143165036
452,1.0567369290318922,0.11495107880511861,19,2,0.7290789437296832,0.02725902500264201,0.3445121316591674,0.033598242143165036
453,5.590528734827474,0.11495107880511861,15,2,0.294736556225587,0.02725902500264201,0.9,0.033598242143165036
454,1.3806852414997108,0.11495107880511861,10,2,0.670888585309132,0.02725902500264201,0.22666330203055482,0.033598242143165036
455,37.65735777655962,0.11495107880511861,3,2,1.9127536900158373,0.02725902500264201,0.8377206008929317,0.033598242143165036
456,25.965537834571002,0.11495107880511861,10,2,1.182881106546041,0.02725902500264201,0.7942723137748767,0.033598242143165036
457,139.32813547647348,0.11495107880511861,8,2,3.5739082907807553,0.02725902500264201,0.8614396674805869,0.033598242143165036
458,1.6286193964923974,0.11495107880511861,12,2,0.20606418827338363,0.02725902500264201,0.10222838794109096,0.033598242143165036
459,41.45941884182502,0.11495107880511861,10,2,1.573619202171042,0.02725902500264201,0.8701969787767054,0.033598242143165036
460,1.6571799735843398,0.11495107880511861,19,2,0.8489892744892603,0.02725902500264201,0.09896999445224393,0.033598242143165036
461,16.763788150538215,0.11495107880511861,14,2,1.0272618479002444,0.02725902500264201,0.8997005075430006,0.033598242143165036
462,1.877962170562347,0.11495107880511861,18,2,0.4873870727499992,0.02725902500264201,0.09999999992875659,0.033598242143165036
463,1.8170649411165418,0.11495107880511861,17,2,0.34569833685442297,0.02725902500264201,0.09999999942190445,0.033598242143165036
464,1.8422262884635952,0.11495107880511861,18,2,0.5684010422535429,0.02725902500264201,0.0999999999991176,0.033598242143165036
465,19.088742063182877,0.11495107880511861,8,2,0.8779141916141412,0.02725902500264201,0.87579911670605,0.033598242143165036
466,33.07896525022998,0.11495107880511861,15,2,2.1598601355701295,0.02725902500264201,0.9,0.033598242143165036
467,1.9698872358483341,0.11495107880511861,18,2,0.3486445520111995,0.02725902500264201,0.09999999999919011,0.033598242143165036
468,9.319568564159786,0.11495107880511861,4,2,0.747688112038373,0.02725902500264201,0.8330090462553872,0.033598242143165036
469,8.493377859983873,0.11495107880511861,9,2,1.2586761483933162,0.02725902500264201,0.05451331609563619,0.033598242143165036
