trial,score,deer.birth,deer.surv,metric.crash_ratio,metric.peak_height,metric.peak_timing,predation.predAtk,predation.predCap,predation.predEff,predators.mort,vegetation.browse,vegetation.capMax,vegetation.vegRate
24,71.19138006739472,0.7670370429451078,0.9649804951851962,0.9,2.5277820532143815,15,0.002896111863935873,0.5108659211681331,0.0074923568257716875,0.05686767826651704,0.09287809516443847,309890.6480948243,0.33790331080931474
25,2.81704075054279,0.6416894551455349,0.9611738735717361,0.09999999920586748,0.040752771953513005,15,0.00040101727047031415,0.20795121683361473,0.0059705993091777754,0.3473499001939223,0.5116319352289712,240912.12253424435,0.354664780730793
26,2.4204131474886488,0.7215938130097623,0.7853691936960518,0.8999819185767812,0.13382354035802696,14,0.0030970978609053497,0.4063411780354916,0.005857539278447686,0.2757078763000207,0.5341723884776625,118363.71646307973,0.1487702980505494
27,8.391330854366794,0.7148173573542613,0.6899772064598022,0.7992160325665444,0.6009920493490287,2,0.003358615269688377,0.30499751782894785,0.003195963102904948,0.383376311434769,0.42971508047364887,145362.94381553167,0.561476692064492
28,1.8277461744936772,1.396486803069585,0.5351651461278238,0.1,0.4339073880539321,18,0.0010661649841790686,0.27542035253784114,0.009335930811037405,0.4440061616326265,0.5990726645126654,226651.36723794756,0.052800437550962816
29,27.536606923289494,1.2503704591758262,0.837699164041938,0.882713653902559,1.2197505078221857,9,0.003058582989746888,0.8891481040867787,0.00655706436122179,0.03367686036151424,0.09464809941433917,198248.66839644287,0.5287694430658803
30,5.0217976800768716,1.3450370035343935,0.5644597349088165,0.4339896430274973,0.26829779760871286,15,0.0005775856377603015,0.14098058105300498,0.0055545752268039185,0.15800365978796366,0.3980332289796464,175801.20070399292,0.49209143971812236
31,1.488335907968426,1.0708141629965717,0.6267122727825964,0.06365685336022109,0.637316968955498,19,0.0024429149948208082,0.8195360174174248,0.008468731947283812,0.07338027982498471,0.12215838739647175,309635.8998844153,0.3668495979478321
32,21.684557978450194,1.1940073007176644,0.8058144211046623,0.9,1.0915428811667949,15,0.001310145334540524,0.6800462720957412,0.005539220190207593,0.23101285192091928,0.0021274134526693797,168537.67167112054,0.25990970581259853
33,1.7678076203944637,1.3135357144039037,0.7618833388186508,0.1,0.5409142234881312,19,0.0041730578019201405,0.5451331315163249,0.0015235331663964523,0.08989939406260522,0.5298638359800858,104078.03522360546,0.01570512276892058
34,2.133920722076972,1.2746323238008124,0.9314838255327078,0.09999999997849214,0.17825334032957704,17,0.0010507776534296005,0.26210027833948574,0.001072796535634267,0.3966546336795781,0.477673382932825,367674.0763976288,0.19187242645877886
35,0.994400724599013,0.6390980044989841,0.9463428875329637,0.04477509866086743,0.33099475673816575,5,0.00432309617825171,0.8797751279913184,0.00811717861340695,0.4442656161917624,0.3723969060904277,210040.76474627736,0.5316394738560952
36,1.6246141037469384,1.337734297443493,0.8850728666898267,0.099999986561539,0.5548989264864733,19,0.004320388109862209,0.7391369190882306,0.002704716810464997,0.40006601929367136,0.1993112807678572,315700.6309616263,0.024623953519931345
37,1.7948263647043936,0.700190345791098,0.8919615706865258,0.09999999999999531,0.5803453187526331,18,0.0023017860217773712,0.3094122372378105,0.007963687716570975,0.13696987908165206,0.515155950802669,359093.37052994873,0.07377641957774468
38,2.0491924684978047,1.2779176478272576,0.9641067699432133,0.09999999992101306,0.2895615548176876,18,0.0013959854011129963,0.5952594778164836,0.004026799924382605,0.49114035298318226,0.1969571707186239,141801.53226486678,0.023962016473856394
39,178.45780519751736,1.373360549920005,0.5857125517627826,0.9,4.478506573504099,15,0.0048126903116498965,0.27564640814452335,0.0011286053447863754,0.23424496652538285,0.06920505111085655,380555.88490390906,0.3263672821624459
40,16.86756666183183,0.9602807537025302,0.6848938080054691,0.8218465074400589,0.7983924392806526,11,0.0028831519234612498,0.26651413021779463,0.007102413574149998,0.030794900762755848,0.36372531198368596,180376.7405423972,0.4398415857850955
41,5.861592978870549,1.1677550700555288,0.8219016821278398,0.09999999999901753,0.831752666432524,14,0.0018214252481704306,0.10947773945736367,0.00665916496486716,0.1851940169400203,0.4316579994869073,252304.6390696934,0.5560893476444587
42,1.0224114693376471,0.7702900413901377,0.6484566378601535,0.9,0.32094437738194653,15,0.002042260346641775,0.39204032899906593,0.0029917692651331733,0.08982526555780201,0.4318525578083701,351364.8894420274,0.1952102305844322
43,2.2500497933554513,1.3125249911593242,0.7954471596566626,0.09999999999965399,0.2028943225395668,17,0.001505098897890544,0.5157466311653435,5.40390999880109e-05,0.16484944692839576,0.40639076716363975,380916.37463365856,0.25806333692601585
44,25.285339407945454,0.9184893712223128,0.7122367036663075,0.8997102393256329,1.3579282825341523,8,0.001068900154245007,0.4522082580229273,0.00901674921699113,0.4041316372595867,0.39282337422184294,265595.12998261827,0.2636340084940024
45,2.3400359726531477,1.069646770189216,0.6608903625967044,0.8973766449274317,0.026004315945487178,12,0.004092208110951053,0.6884674169096224,0.006744316922043812,0.1355811130187255,0.3092712059491299,107134.57175203896,0.11011792375685228
46,2.1294757579020183,0.9276227097969245,0.9078740934198712,0.09999999540014345,0.3048215520233291,17,0.0003646047318082533,0.40227485934806145,0.006316165538340251,0.12138456126766337,0.14690552644701008,87816.12407258443,0.12748666030868022
47,6.379005673585992,1.0904522100006058,0.5026615127062553,0.014047285459937803,1.5849072544854566,8,0.0037549469008540557,0.7045392602879214,0.0011105436008072124,0.22981871115308503,0.1463906637470633,238200.69408333983,0.4208490077893979
48,1.2337615521767442,0.5451965466265768,0.6196151742367864,0.2374394798444203,0.5961778562514666,11,0.004241757568584623,0.4379925516496467,0.008024095187136532,0.343761534315586,0.31077465026624446,386549.1335294527,0.11377314220685367
